CaseNum,RYCohort,donatesum,SpouseAlum,SportsAlum,UGAlumAwards,OtherUGAct,EverAssigned,BoardMember,ChildAlum,ParentAlum,SiblingAlum,GradDegree,TotalReunions,OnePlusEvents,Years Lapsed
255,1969,1,0,0,0,0,0,1,1,0,0,1,0,1,13
256,1954,2,0,1,0,0,1,0,0,0,0,0,7,1,1
257,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
258,1954,1,0,0,0,1,0,0,0,0,0,1,4,1,48
259,1969,0,0,0,0,1,0,1,0,0,1,0,1,1,32
260,1964,0,0,0,0,0,0,1,0,0,0,0,4,1,21
261,1959,0,0,0,0,0,0,0,0,0,0,0,0,1,11
262,1959,2,0,0,1,1,1,0,0,0,0,0,0,1,5
263,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,24
264,1959,2,0,0,0,0,0,0,1,0,0,0,0,1,1
265,1959,0,0,0,0,0,0,0,0,0,0,0,1,1,20
266,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
267,1964,2,0,0,0,0,0,1,0,0,0,0,9,1,1
268,1964,0,0,0,0,0,0,0,0,0,0,0,1,0,48
269,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,16
270,1969,0,1,0,0,0,0,0,1,0,0,0,7,1,1
271,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
272,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
273,1954,1,0,0,0,0,0,0,0,0,1,0,0,0,47
274,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
275,1969,0,0,0,0,0,0,0,0,1,0,0,0,0,48
276,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,4
277,1969,0,1,0,0,1,0,0,0,0,0,0,0,0,29
278,1954,2,0,0,0,0,0,0,1,0,0,0,4,1,1
279,1969,2,1,0,0,1,0,1,0,0,0,0,2,1,0
280,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
281,1954,2,0,0,0,1,0,0,1,0,0,0,8,1,4
282,1954,2,0,0,0,1,0,0,0,0,0,0,5,1,4
283,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,33
284,1969,0,0,0,0,0,0,0,0,0,0,0,1,1,20
285,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
286,1969,2,0,0,0,1,0,0,0,0,0,1,7,1,1
287,1969,2,0,0,0,0,1,1,1,0,0,0,3,1,2
288,1969,1,0,1,0,0,0,0,0,0,1,0,0,1,0
289,1969,0,0,1,0,0,0,0,0,0,0,0,2,1,48
290,1959,1,0,0,0,0,0,0,0,0,0,0,7,1,1
291,1954,2,0,1,1,0,1,1,0,0,0,0,4,1,1
292,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,26
293,1964,0,0,0,0,1,0,0,0,0,1,0,1,1,32
294,1969,0,1,0,0,1,0,0,0,0,0,0,0,0,48
295,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
296,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,20
297,1969,1,0,0,0,1,0,0,0,0,0,0,0,0,2
298,1969,0,0,0,0,0,0,0,0,0,0,0,1,1,5
299,1954,2,0,0,0,0,1,1,1,0,0,0,9,1,2
300,1954,1,0,1,0,0,0,0,0,0,0,0,2,1,30
301,1969,1,0,0,0,1,0,1,1,0,0,0,2,1,2
302,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
303,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,48
304,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
305,1954,1,0,0,0,1,0,0,0,0,0,0,0,0,26
306,1969,2,0,0,0,0,1,1,1,0,0,0,4,1,1
307,1969,1,1,0,0,0,0,0,0,0,0,0,1,1,15
308,1959,1,0,0,0,1,0,1,0,0,0,0,2,1,15
309,1969,1,0,0,0,0,1,0,0,0,0,0,4,1,4
310,1954,2,0,0,0,0,0,0,0,0,0,0,0,0,2
311,1964,1,0,1,0,1,0,0,0,0,1,0,3,1,1
312,1954,1,0,0,0,1,0,0,0,0,0,0,0,0,32
313,1959,2,0,0,0,0,1,1,1,0,0,0,3,1,1
314,1969,2,0,0,1,0,1,0,0,0,0,0,0,1,1
315,1964,1,0,0,0,0,0,0,0,0,0,0,0,0,1
316,1964,2,0,0,0,0,1,0,0,0,0,0,0,0,1
317,1969,0,1,0,0,1,0,0,0,0,0,0,0,0,48
318,1964,0,0,0,0,0,0,0,1,0,0,1,2,1,19
319,1969,0,0,0,0,0,1,0,0,0,0,0,0,0,31
320,1964,0,0,0,0,0,0,1,0,1,0,0,0,1,20
321,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
322,1959,1,0,0,0,0,0,0,0,0,0,0,1,1,1
323,1964,2,0,0,0,0,0,0,0,0,0,0,0,1,0
324,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,10
325,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
326,1954,1,0,1,0,1,0,0,0,0,0,0,2,0,48
327,1969,2,0,0,0,1,1,1,0,0,0,1,0,1,1
328,1969,0,0,1,0,1,0,0,0,0,0,0,2,1,48
329,1954,2,0,1,0,1,1,1,1,0,1,0,8,1,1
330,1964,0,0,0,0,0,1,0,0,1,0,0,0,1,23
331,1959,1,0,1,0,0,0,0,0,0,0,0,9,1,3
332,1954,1,0,0,0,0,0,0,0,0,0,0,0,1,48
333,1964,2,0,0,0,0,0,0,0,0,0,0,0,0,1
334,1954,1,0,0,0,1,0,0,0,0,0,0,0,0,48
335,1959,1,0,0,0,1,0,1,0,0,0,0,0,1,1
336,1964,2,0,0,0,0,0,0,1,0,0,0,4,1,5
337,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,16
338,1964,2,1,0,0,1,0,0,1,0,0,0,2,1,4
339,1969,0,0,0,0,0,0,0,0,0,1,0,0,0,32
340,1954,1,0,0,0,1,0,0,0,0,0,0,3,0,1
341,1959,0,0,0,0,0,0,0,0,0,0,0,1,1,48
342,1964,1,0,1,0,0,0,0,0,0,0,0,5,1,10
343,1969,1,0,1,0,0,1,0,0,0,0,0,1,1,2
344,1969,0,0,1,0,0,0,0,0,0,0,0,0,1,26
345,1969,0,0,0,0,0,0,0,0,0,0,1,3,1,5
346,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,33
347,1964,0,0,0,0,0,0,0,0,0,1,1,0,0,33
348,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
349,1969,2,0,0,0,0,0,0,1,0,0,0,0,1,6
350,1969,2,0,0,0,0,0,1,0,0,0,1,25,1,1
351,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,1
352,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,16
353,1954,1,0,0,0,1,0,0,0,0,0,0,4,1,7
354,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
355,1959,0,0,0,0,0,0,0,0,0,0,0,3,1,23
356,1969,2,1,0,0,0,0,0,1,0,1,1,6,1,1
357,1969,0,0,0,0,0,0,0,0,0,0,0,1,1,21
358,1954,2,0,0,0,1,1,0,1,0,0,0,4,1,1
359,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
360,1969,2,0,0,0,1,1,0,0,0,0,1,1,1,0
361,1969,2,0,0,0,0,0,0,0,0,0,0,0,0,4
362,1969,0,1,0,0,0,0,0,0,0,0,0,1,0,48
363,1969,1,0,0,0,0,0,0,0,0,0,0,1,1,14
364,1959,0,0,0,0,1,0,1,0,0,0,0,1,1,1
365,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,48
366,1969,1,0,0,0,0,0,0,0,0,0,0,2,1,4
367,1954,1,0,0,0,0,0,0,0,0,0,0,0,1,26
368,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
369,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
370,1954,2,0,0,0,1,0,0,0,1,0,0,4,0,10
371,1954,1,0,0,0,1,0,1,0,0,1,1,7,1,7
372,1969,1,0,0,0,1,0,0,0,0,0,1,0,0,6
373,1964,2,0,0,0,0,0,1,0,0,0,0,2,1,1
374,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
375,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
376,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,48
377,1969,0,1,0,0,0,0,0,1,0,0,0,0,1,48
378,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,3
